Record id ,Division,Section ,PWI ,OHEMas,OHE Feature,EngFeature,Remark 1,Remark 2,Latitude,Longitude,Altitude,Validity,Speed,Satellites,ModifiedDate
32,ADI,SBT-ADI,,500/5 DA L2,X-OVER,,,,23.06587,72.58882,15.30096,,,9,3/20/2018 11:41
33,ADI,SBT-ADI,,500/4 L1,ATD,,,,23.06536,72.58885,16.42872,,,9,3/20/2018 11:39
34,ADI,SBT-ADI,,500/3 L3,,,,,23.0654,72.58892,16.12392,,,9,3/20/2018 11:40
35,ADI,SBT-ADI,,500/3 DA L2,,,,,23.0654,72.58889,15.88008,,,9,3/20/2018 11:39
36,ADI,SBT-ADI,,500/1 L3,,,,,23.06492,72.58905,15.02664,,,12,3/20/2018 10:52
37,ADI,SBT-ADI,,500/2 L1,,,,,23.06482,72.58895,16.4592,,,6,3/20/2018 11:37
38,ADI,SBT-ADI,,500/1 DA L2,,,,,23.06484,72.58898,17.6784,,,11,3/20/2018 0:00
39,ADI,SBT-ADI,,499/34 L1,,,,,23.06431,72.58904,17.43456,,,9,3/20/2018 11:36
40,ADI,SBT-ADI,,499/33 L3,,,,,23.06444,72.5891,14.29512,,,12,3/20/2018 10:55
41,ADI,SBT-ADI,,499/33 DA L2,,,,,23.06383,72.58914,18.04416,,,12,3/20/2018 10:47
42,ADI,SBT-ADI,,499/32 L1,,,,,23.06319,72.5893,17.03832,,,8,3/20/2018 11:35
43,ADI,SBT-ADI,,499/31 L3,,,,,23.06391,72.58916,14.72184,,,11,3/20/2018 10:56
44,ADI,SBT-ADI,,499/31 DA L2,,,,,23.06383,72.58914,18.04416,,,12,3/20/2018 10:46
45,ADI,SBT-ADI,,499/30 L1,,,,,23.06319,72.5893,17.03832,,,9,3/20/2018 11:30
46,ADI,SBT-ADI,,499/29 L3,,,,,23.0634,72.58925,14.3256,,,10,3/20/2018 10:57
47,ADI,SBT-ADI,,499/29 DA L2,,,,,23.06325,72.58922,17.6784,,,12,3/20/2018 0:00
48,ADI,SBT-ADI,,499/28 L1,,,,,23.06279,72.58928,18.288,,,8,3/20/2018 11:30
49,ADI,SBT-ADI,,499/27 DA L2,,,,,23.06281,72.5893,17.16024,,,12,3/20/2018 10:43
50,ADI,SBT-ADI,,499/27 L3,,,,,23.06294,72.58932,13.59408,,,11,3/20/2018 10:58
51,ADI,SBT-ADI,,499/26 L1,,,,,23.06158,72.58949,16.58112,,,9,3/20/2018 11:29
52,ADI,SBT-ADI,,499/25 DA L2,,,,,23.06227,72.58937,16.18488,,,7,3/20/2018 10:42
53,ADI,SBT-ADI,,499/25 L3,,,,,23.0624,72.58937,14.87424,,,10,3/20/2018 10:59
54,ADI,SBT-ADI,,499/24 L1,,,,,23.06177,72.58942,16.82496,,,9,3/20/2018 11:22
55,ADI,SBT-ADI,,499/23 DA L2,,,,,23.0617,72.58947,15.42288,,,7,3/20/2018 10:41
56,ADI,SBT-ADI,,499/23 L3,,,,,23.06185,72.58949,13.716,,,12,3/20/2018 11:00
57,ADI,SBT-ADI,,499/22 L1,,,,,23.06136,72.58962,14.35608,,,9,3/20/2018 11:05
58,ADI,SBT-ADI,,499/21D L3,,,,,23.06117,72.58959,17.6784,,,8,03-01-2018 13:57
59,ADI,SBT-ADI,,499/21DA L2,,,,,23.06116,72.58954,14.59992,,,6,3/20/2018 10:39
60,ADI,SBT-ADI,,499/20 L1,,,,,23.06054,72.58959,21.24456,,,9,03-01-2018 13:55
61,ADI,SBT-ADI,,499/19DDA L3,ACC,,,,23.06059,72.58965,21.51888,,,9,03-01-2018 13:56
62,ADI,SBT-ADI,,499/19DA L2,ACA,,,,23.06053,72.58962,21.51888,,,9,03-01-2018 13:56
63,ADI,SBT-ADI,,499/18 L1,,,,,23.06024,72.58964,20.81784,,,8,03-01-2018 13:54
64,ADI,SBT-ADI,,499/17DDA L3,IOL,,,,23.06025,72.58974,19.87296,,,8,03-01-2018 13:54
65,ADI,SBT-ADI,,499/17DA L2,SM 173,,,,23.06025,72.5897,20.75688,,,8,03-01-2018 13:54
66,ADI,SBT-ADI,,499/16 L1,UIOL,,,,23.05973,72.58977,16.6116,,,8,03-01-2018 13:50
67,ADI,SBT-ADI,,499/15DDA L3,IOL,,,,23.05963,72.58982,18.47088,,,9,03-01-2018 13:51
68,ADI,SBT-ADI,,499/15DA L2,ACA,,,,23.05972,72.58977,16.97736,,,9,03-01-2018 13:51
69,ADI,SBT-ADI,,499/14 L1,UIOL,,,,23.05918,72.58986,17.19072,,,9,03-01-2018 13:49
70,ADI,SBT-ADI,,499/12 L1,"IOL, SM 172",,,,23.05866,72.58993,16.24584,,,8,03-01-2018 13:46
71,ADI,SBT-ADI,,499/13DDA L3,X-OVER,"POINT 107,108",,,23.05916,72.5899,15.94104,,,7,03-01-2018 13:48
72,ADI,SBT-ADI,,499/11DDA L3,UIOL,,,,23.05866,72.59,16.27632,,,9,03-01-2018 13:47
73,ADI,SBT-ADI,,499/11DA L2,X-OVER,"POINT 103,104",,,23.05865,72.58996,15.94104,,,9,03-01-2018 13:46
74,ADI,SBT-ADI,,499/10 L1,IOL,,,,23.05808,72.59002,17.2212,,,9,03-01-2018 13:44
75,ADI,SBT-ADI,,499/9DDA L3,UIOL,,,,23.05802,72.59007,17.80032,,,8,03-01-2018 13:44
76,ADI,SBT-ADI,,499/9DA L2,,,,,23.05804,72.59008,17.89176,,,8,03-01-2018 13:44
77,ADI,SBT-ADI,,499/8 L1,X-OVER,"POINT 101,102",,,23.0576,72.59009,14.38656,,,9,03-01-2018 13:42
78,ADI,SBT-ADI,,499/7DDA L3,X-OVER,"POINT 106,105",,,23.05764,72.59013,14.26464,,,9,03-01-2018 13:42
79,ADI,SBT-ADI,,499/7 L2,,,,,23.05752,72.59013,14.81328,,,9,03-01-2018 13:41
80,ADI,SBT-ADI,,499/6 L1,,,,,23.05696,72.59015,16.03248,,,8,03-01-2018 13:39
81,ADI,SBT-ADI,,499/5DA L2,X-OVER,"POINT 105,106",,,23.05694,72.5902,16.03248,,,9,03-01-2018 13:39
82,ADI,SBT-ADI,,499/5DDA L3,UIOL,,,,23.05687,72.59024,16.12392,,,8,03-01-2018 13:39
